type,flight_id,airline,flight_number,departure_airport,departure_city,arrival_airport,arrival_city,departure_datetime,arrival_datetime,ticket_price,flight_class,total_available_seats,hotel_id,name,street,city,state,zip,country,latitude,longitude,star_rating,price_per_night,wifi,breakfast_included,parking,pet_friendly,near_transit,number_of_rooms,hotel_rating,hotel_image1,hotel_image2,car_id,company,make,model,vehicle_type,year,pickup_address,pickup_city,pickup_country,pickup_lat,pickup_lng,dropoff_address,dropoff_city,dropoff_country,dropoff_lat,dropoff_lng,price_per_day,available,pickup_date,dropoff_date,car_image1,car_image2
flight,FL00001,Wright-Moore,D5,DFW,Huffmanland,ORD,Lake Darryl,2025-12-09T19:53:51,2026-01-14T01:13:53,561.38,First,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00002,"Morris, Vance and Garcia",S116,JFK,East Nancy,LAX,Wellsmouth,2025-12-22T13:31:48,2026-01-26T13:50:13,344.73,First,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00003,Boyer-Johnson,I597,DFW,Lake Michael,SFO,Kristinefort,2025-12-27T03:34:01,2026-01-17T03:38:38,161.76,First,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00004,Bates Ltd,L852,LAX,Port Angelatown,DFW,East Michael,2025-12-09T19:09:33,2026-01-07T17:36:56,279.78,Business,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00005,Rose Inc,V391,LAX,Davidland,SEA,North Julie,2025-12-04T06:53:20,2026-01-20T01:56:35,578.05,Business,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00006,"Sullivan, Lawson and Molina",G536,DFW,East Gary,JFK,Walkerview,2025-12-09T12:12:16,2026-01-30T01:26:59,254.14,Business,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00007,"Gutierrez, Jackson and Higgins",E972,SFO,Crystaltown,DFW,Danielmouth,2025-12-16T11:07:39,2026-01-26T23:50:16,249.68,First,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00008,"Thornton, Middleton and Lopez",L999,LAX,Port Rogertown,ORD,New Charles,2025-12-07T21:50:15,2026-01-28T03:44:06,385.9,Business,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00009,"Clark, Mendez and Fitzpatrick",M993,SFO,Tiffanyhaven,JFK,Lake Nicole,2025-12-30T13:54:45,2026-01-11T05:58:04,333.02,First,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00010,Gordon-Gibbs,C942,SEA,Port Natalie,ORD,Brendaborough,2025-12-13T01:01:25,2026-01-09T23:06:40,379.29,Business,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00011,"Cuevas, Lewis and Alvarado",S115,JFK,New Johnbury,SEA,Aliciaborough,2025-12-03T13:43:10,2026-01-17T08:40:50,137.94,Business,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00012,Medina-Wagner,H467,SFO,Banksmouth,DFW,East Jeremyport,2025-12-18T06:07:05,2026-01-03T18:20:29,569.1,First,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00013,Edwards LLC,W852,LAX,Reyesfort,JFK,Laurieville,2025-12-20T01:33:10,2026-01-30T10:04:37,587.79,First,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00014,Smith Inc,K334,LAX,Nelsonmouth,ORD,East Laurenshire,2025-12-13T14:00:32,2026-01-05T10:49:19,549.31,First,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00015,Pollard-Bartlett,W531,ORD,Duartechester,LAX,South Francesbury,2025-12-27T21:39:49,2026-01-11T18:28:26,90.84,Business,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00016,Cochran-Johnson,Y88,LAX,Bobbyton,JFK,Lake Saraton,2025-12-21T12:25:20,2026-01-07T01:01:41,298.07,Business,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00017,"Cunningham, Jones and Snyder",L154,SFO,Travisburgh,SFO,South Melinda,2025-12-21T00:09:50,2026-01-27T12:37:16,402.64,Economy,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00018,Wilson-Wall,M279,JFK,Pierceborough,ORD,Jimenezbury,2025-12-18T16:30:35,2026-01-06T15:34:15,576.95,First,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00019,Garcia Inc,Y877,SFO,East Markton,SEA,West Laurenberg,2025-12-10T12:10:20,2026-01-13T12:24:23,264.78,First,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00020,Dixon Inc,P645,ORD,West Jennastad,DFW,Lake Tyler,2025-12-16T10:31:28,2026-01-07T10:29:36,593.99,First,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00021,Gilbert Ltd,D247,DFW,Manuelburgh,SEA,South Christianfort,2025-12-18T08:08:04,2026-01-20T21:46:09,153.42,First,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flight,FL00022,Garrett and Sons,N313,DFW,East Robertfort,SFO,South Christopher,2025-12-24T14:47:44,2026-01-04T17:34:07,525.76,Economy,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
